DEVICE	ROOM	DATE	a1	a2	a3
6ae954141a964add89245c377fb6d1ea	C3.01	01.01.2020 12:00:00	47.917442	0	0
f4bbde7a3e114100bdba9a3f6784bc60	C3.02	01.01.2020 12:00:00	0	22.797504	13.002909
cbfb186d05644235a948241fb896cf60	C3.01	01.01.2020 12:00:00	57.27304	19.01891	0
f29b5b253544424bbbe0d83e5bad0a10	C3.01	01.01.2020 12:00:00	0	21.736496	6.283826
c0ae6612fb4b4361ae56ca1bb2822b45	C3.02	01.01.2020 12:00:00	9.264727	20.083084	14.565639
e38c2db1fb1146a5b33bb91874a68112	C3.02	01.01.2020 12:00:00	0	25.211666	15.269618
486ef56c846b4ee9badcbe35c0f87914	C3.01	01.01.2020 12:00:00	31.369114	27.013182	6.9428616
6ffab5cec2774e7a9e3dd51a255ecd3b	C3.02	01.01.2020 12:00:00	16.071053	31.949198	11.800646
2245b7630b2b4086a871f3bf40de5ccc	C3.02	01.01.2020 12:00:00	9.736255	0	13.956251
06fb8a104cc944179134dce57bc3c784	C3.02	01.01.2020 12:00:00	0	0	10.539292
f89da077c76940ffab214be89ec88301	C3.03	01.01.2020 12:00:00	0	0	40.09797
5f5248e0224748ef8bc748adbe860b14	C3.02	01.01.2020 12:00:00	10.830122	24.096302	14.763809
0690d6645b464bbbb21c583e604408e6	C3.02	01.01.2020 12:00:00	12.185656	0	0
c8665cbdfacf4399a1c3ba0ee67c783f	C3.01	01.01.2020 12:00:00	17.541107	0	0
ae8b36d49ed64ecb9ea045514536b03e	C3.03	01.01.2020 12:00:00	0	15.380623	22.955929
fa095518ce334658862e91ff607474b6	C3.03	01.01.2020 12:00:00	8.442469	17.978203	18.080063
e21f7bc37fdc46bf911f11e4d2095e2e	C3.02	01.01.2020 12:00:00	9.655359	0	18.701458
33010b05012c495aa56fb699589be003	C3.01	01.01.2020 12:00:00	0	18.189255	0
a4b98e11a200457cb32559f1604deefc	C3.01	01.01.2020 12:00:00	23.350002	21.089808	6.9711614
e9ce10747ffd4d9cbdb1a79797803adc	C3.01	01.01.2020 12:00:00	32.617336	19.014189	6.8219376
b1d66ad504b64339a7cef62d22dcb468	C3.02	01.01.2020 12:00:00	13.044079	62.370552	10.019422
097d7b56ad5a4bef93cf64388f1c382c	C3.01	01.01.2020 12:00:00	26.908073	0	6.836953
b4b387f0fdee4feba0d77d113e976065	C3.01	01.01.2020 12:00:00	17.694181	0	0
9824c45db7be462ab523a7d80f84bd6d	C3.02	01.01.2020 12:00:00	12.30051	0	11.469044
2c429993257342fbad6d676046962061	C3.02	01.01.2020 12:00:00	13.314986	112.35309	9.444401
596780b8b29c4931b6474640d219ab81	C3.01	01.01.2020 12:00:00	23.379108	20.393318	0
c7f39281a8274d829f96b7a02b3e43e3	C3.03	01.01.2020 12:00:00	0	18.369698	0
73f7eeb8ec5243858f9ec2dfcaea6033	C3.03	01.01.2020 12:00:00	7.026262	0	0
3a23ddf84bbc42158c7ad58b4f8e8ee2	C3.02	01.01.2020 12:00:00	13.639034	0	11.250949
5a458027724c454eb485adfe7344a804	C3.01	01.01.2020 12:00:00	30.621788	0	0
6ae954141a964add89245c377fb6d1ea	C3.01	01.01.2020 12:01:00	46.418274	21.557852	7.4235706
f4bbde7a3e114100bdba9a3f6784bc60	C3.02	01.01.2020 12:01:00	9.097597	20.48143	14.086473
cbfb186d05644235a948241fb896cf60	C3.01	01.01.2020 12:01:00	0	18.431625	6.560379
f29b5b253544424bbbe0d83e5bad0a10	C3.01	01.01.2020 12:01:00	0	21.323305	0
c0ae6612fb4b4361ae56ca1bb2822b45	C3.02	01.01.2020 12:01:00	8.7538805	20.144552	0
e38c2db1fb1146a5b33bb91874a68112	C3.02	01.01.2020 12:01:00	0	26.774113	0
486ef56c846b4ee9badcbe35c0f87914	C3.01	01.01.2020 12:01:00	29.56654	26.538427	7.739102
6ffab5cec2774e7a9e3dd51a255ecd3b	C3.02	01.01.2020 12:01:00	16.771008	30.038296	11.027884
2245b7630b2b4086a871f3bf40de5ccc	C3.02	01.01.2020 12:01:00	9.752211	21.698809	0
06fb8a104cc944179134dce57bc3c784	C3.02	01.01.2020 12:01:00	14.806751	20.3905	11.237738
f89da077c76940ffab214be89ec88301	C3.03	01.01.2020 12:01:00	8.483658	11.75107	35.05139
5f5248e0224748ef8bc748adbe860b14	C3.02	01.01.2020 12:01:00	10.505682	0	0
0690d6645b464bbbb21c583e604408e6	C3.02	01.01.2020 12:01:00	14.031744	20.07523	13.913866
c8665cbdfacf4399a1c3ba0ee67c783f	C3.01	01.01.2020 12:01:00	19.092617	0	7.7791414
ae8b36d49ed64ecb9ea045514536b03e	C3.03	01.01.2020 12:01:00	8.271975	14.4281025	23.3474
fa095518ce334658862e91ff607474b6	C3.03	01.01.2020 12:01:00	0	15.768062	0
e21f7bc37fdc46bf911f11e4d2095e2e	C3.02	01.01.2020 12:01:00	9.735097	15.454941	19.133791
33010b05012c495aa56fb699589be003	C3.01	01.01.2020 12:01:00	66.0659	18.609886	0
a4b98e11a200457cb32559f1604deefc	C3.01	01.01.2020 12:01:00	0	20.793823	6.726922
e9ce10747ffd4d9cbdb1a79797803adc	C3.01	01.01.2020 12:01:00	0	19.685879	0
b1d66ad504b64339a7cef62d22dcb468	C3.02	01.01.2020 12:01:00	0	65.05371	0
097d7b56ad5a4bef93cf64388f1c382c	C3.01	01.01.2020 12:01:00	29.854803	22.37728	0
b4b387f0fdee4feba0d77d113e976065	C3.01	01.01.2020 12:01:00	19.236217	38.047516	9.432725
9824c45db7be462ab523a7d80f84bd6d	C3.02	01.01.2020 12:01:00	14.108769	32.188725	12.562788
2c429993257342fbad6d676046962061	C3.02	01.01.2020 12:01:00	0	104.9917	9.902699
596780b8b29c4931b6474640d219ab81	C3.01	01.01.2020 12:01:00	0	22.409573	0
c7f39281a8274d829f96b7a02b3e43e3	C3.03	01.01.2020 12:01:00	8.405194	0	0
73f7eeb8ec5243858f9ec2dfcaea6033	C3.03	01.01.2020 12:01:00	6.494941	10.733228	0
3a23ddf84bbc42158c7ad58b4f8e8ee2	C3.02	01.01.2020 12:01:00	14.794319	0	0
5a458027724c454eb485adfe7344a804	C3.01	01.01.2020 12:01:00	31.184082	23.137037	8.79299
6ae954141a964add89245c377fb6d1ea	C3.01	01.01.2020 12:02:00	48.06398	0	7.3526454
f4bbde7a3e114100bdba9a3f6784bc60	C3.02	01.01.2020 12:02:00	0	20.171104	0
cbfb186d05644235a948241fb896cf60	C3.01	01.01.2020 12:02:00	60.866936	18.355042	0
